chord_1,chord_2,chord_3,chord_4
I,iii<sup>7</sup>,iii<sup>4</sup><sub>3</sub>,iii<sup>7</sup>
I,♭III,IV,I
I,♭III,IV,V
I,♭III,IV,♭VII
I,♭III,IV,♭VI
I,♭III,IV,♭III
I,♭III,IV,V/V
I,♭III,IV,Ib7
I,♭III,IV,V<sup>7</sup>
I,♭III,I,♭III
I,♭III,I,IV
I,♭III,I,i<sup>6</sup><sub>5</sub>
I,♭III,♭VII,IV
I,♭III,♭VII,♭III
I,♭III,♭VII,♭II
I,♭III,V,I
I,♭III,V,iii
I,♭III,V,V<sup>7</sup>
I,♭III,V,IV
I,♭III,V/V,IV
I,♭III,V/V,♭II
I,♭III,♭VII<sup>6</sup>,I
I,♭III,ii,I
I,♭III,v,♭V
I,♭III,v,V
I,♭III,♭VI,IV
I,♭III,♭VI,v<sup>7</sup>
I,♭III,IVb7,I
I,♭III,♭II,I
I,♭III,I<sup>4</sup><sub>3</sub>,V<sup>7</sup>/ii
I,♭III,♭III,I
I,♭III,IV,V
I,♭III,vii°,I
I,V<sup>7</sup>/vi,vi,IV
I,V<sup>7</sup>/vi,vi,V
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/IV
I,V<sup>7</sup>/vi,vi,I<sup>6</sup>
I,V<sup>7</sup>/vi,vi,V<sup>6</sup><sub>5</sub>/vi
I,V<sup>7</sup>/vi,vi,I
I,V<sup>7</sup>/vi,vi,V<sup>6</sup>/vi
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/vi
I,V<sup>7</sup>/vi,vi,vi<sup>7</sup>
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>
I,V<sup>7</sup>/vi,vi,Ib7
I,V<sup>7</sup>/vi,vi,IV<sup>7</sup>
I,V<sup>7</sup>/vi,vi,ii
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/ii
I,V<sup>7</sup>/vi,vi,vii°/V
I,V<sup>7</sup>/vi,vi,vi<sup>4</sup><sub>2</sub>
I,V<sup>7</sup>/vi,vi,ii<sup>7</sup>
I,V<sup>7</sup>/vi,vi,V/vi
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/V
I,V<sup>7</sup>/vi,vi,iii
I,V<sup>7</sup>/vi,IV,IV<sup>7</sup>
I,V<sup>7</sup>/vi,IV,iv
I,V<sup>7</sup>/vi,IV,II<sup>7</sup>
I,V<sup>7</sup>/vi,IV,V
I,V<sup>7</sup>/vi,IV,iv<sup>7</sup>
I,V<sup>7</sup>/vi,IV,I
I,V<sup>7</sup>/vi,IV,V<sup>7</sup>/V
I,V<sup>7</sup>/vi,IV,#iv°
I,V<sup>7</sup>/vi,IV,V/vi
I,V<sup>7</sup>/vi,IV,V<sup>7</sup>/vi
I,V<sup>7</sup>/vi,vi<sup>7</sup>,v<sup>7</sup>
I,V<sup>7</sup>/vi,vi<sup>7</sup>,Ib7
I,V<sup>7</sup>/vi,IVb7,II<sup>7</sup>
I,V<sup>7</sup>/vi,ii<sup>7</sup>,V<sup>7</sup>
I,V<sup>7</sup>/vi,V<sup>4</sup><sub>2</sub>/vi,V<sup>7</sup>/vi
I,V<sup>7</sup>/vi,V<sup>6</sup><sub>5</sub>/iii,ii
I,V<sup>7</sup>/vi,V<sup>6</sup><sub>5</sub>/vi,vi
I,V<sup>7</sup>/vi,ii,IV
I,V<sup>7</sup>/vi,V<sup>7</sup>/ii,ii<sup>7</sup>
IV,I,V,vi
IV,I,V,IV
IV,I,V,I
IV,I,V,ii
IV,I,V,vi<sup>7</sup>
IV,I,V,♭VII
IV,I,V,iii
IV,I,V,V/V
IV,I,V,V/vi
IV,I,IV,I
IV,I,IV,V
IV,I,IV,vi
IV,I,IV,I<sup>6</sup>
IV,I,IV,ii
IV,I,IV,♭VII
IV,I,IV,iii
IV,I,IV,V<sup>7</sup>
IV,I,IV,I<sup>6</sup><sub>4</sub>
IV,I,IV,vii°/V
IV,I,IV,V/vi
IV,I,IV,♭VI
IV,I,IV,ii<sup>7</sup>
IV,I,IV,V<sup>6</sup>/V
IV,I,IV,IV<sup>6</sup><sub>4</sub>/IV
IV,I,vi,V
IV,I,vi,IV
IV,I,vi,iii
IV,I,vi,I
IV,I,vi,V/vi
IV,I,vi,ii
IV,I,vi,I<sup>6</sup><sub>4</sub>
IV,I,vi,V<sup>7</sup>/V
IV,I,vi,ii<sup>7</sup>
IV,I,vi,♭VII
IV,I,ii,vi
IV,I,ii,V
IV,I,ii,IV
IV,I,ii,iii
IV,I,ii,I
IV,I,ii,I<sup>6</sup>
IV,I,ii,V/vi
IV,I,ii,♭VII
IV,I,ii,iv<sup>6</sup><sub>5</sub>
IV,I,ii,iv
IV,I,ii,ii<sup>4</sup><sub>2</sub>
IV,I,ii,v
IV,I,ii,IV/iii
IV,I,ii,V<sup>6</sup><sub>4</sub>
IV,I,V<sup>6</sup>,vi
IV,I,V<sup>6</sup>,IV
IV,I,V<sup>6</sup>,V
IV,I,V<sup>6</sup>,ii
IV,I,V<sup>6</sup>,IV<sup>6</sup>
IV,I,V<sup>6</sup>,I
IV,I,V<sup>6</sup>,vi<sup>7</sup>
IV,I,V<sup>6</sup>,ii<sup>7</sup>
IV,I,V<sup>6</sup>,V<sup>7</sup>/IV
IV,I,V<sup>6</sup>,I<sup>6</sup>
IV,I,V<sup>6</sup>,V/vi
IV,I,V<sup>6</sup>,iii
IV,I,iii,vi
IV,I,iii,IV
IV,I,iii,V
IV,I,iii,ii
IV,I,iii,I
IV,I,iii,vi
IV,I,iii,♭VII
IV,I,iii,vi<sup>7</sup>
IV,I,iii,iii<sup>6</sup>
IV,I,iii,V/V
IV,I,iii,ii<sup>7</sup>
IV,I,iii,V/iii
IV,I,V/vi,vi
IV,I,V/vi,IV
IV,I,V/vi,V<sup>7</sup>/vi
IV,I,V/vi,ii
IV,I,V/vi,V/V
IV,I,♭VII,IV
IV,I,♭VII,V
IV,I,♭VII,I
IV,I,♭VII,IV<sup>6</sup>
IV,I,♭VII,♭III
IV,I,♭VII,ii
IV,I,♭VII,vi
IV,I,♭VII,V/vi
IV,I,♭VII,vii°
IV,I,♭VII,ii<sup>7</sup>
IV,I,♭VII,♭VI
IV,I,I<sup>6</sup><sub>4</sub>,vi
IV,I,I<sup>6</sup><sub>4</sub>,I
IV,I,I<sup>6</sup><sub>4</sub>,IV
IV,I,I<sup>6</sup><sub>4</sub>,V
IV,I,I<sup>6</sup><sub>4</sub>,iv<sup>6</sup>
IV,I,I<sup>6</sup><sub>4</sub>,IV<sup>6</sup><sub>4</sub>
IV,I,I<sup>6</sup><sub>4</sub>,I<sup>7</sup>
IV,I,I<sup>6</sup><sub>4</sub>,♭VI
IV,I,I<sup>6</sup><sub>4</sub>,V<sup>7</sup>/IV
IV,I,I<sup>6</sup><sub>4</sub>,V<sup>6</sup>
IV,I,ii<sup>7</sup>,I<sup>6</sup>
IV,I,ii<sup>7</sup>,V
IV,I,ii<sup>7</sup>,IV
IV,I,ii<sup>7</sup>,vi
IV,I,ii<sup>7</sup>,V<sup>7</sup>
IV,I,ii<sup>7</sup>,I
IV,I,ii<sup>7</sup>,i<sup>6</sup><sub>5</sub>
IV,I,ii<sup>7</sup>,iii
IV,I,ii<sup>7</sup>,vi<sup>7</sup>
IV,I,ii<sup>7</sup>,iii<sup>6</sup>
IV,I,ii<sup>7</sup>,♭III
IV,I,V/V,V
IV,I,V/V,vi
IV,I,V/V,IV
IV,I,V/V,V/vi
IV,I,V/V,♭VII
IV,I,V/V,♭III
IV,I,V/V,vi<sup>4</sup><sub>3</sub>
IV,I,V/V,I<sup>6</sup>
IV,I,V/V,ii<sup>6</sup><sub>5</sub>
IV,I,V/V,iii
IV,I,V/V,V<sup>7</sup>/vi
IV,I,V/V,ii
IV,I,V/V,I
IV,I,V/V,II<sup>7</sup>
IV,I,V/V,V<sup>7</sup>
IV,I,iii<sup>6</sup><sub>4</sub>,vi
IV,I,iii<sup>6</sup><sub>4</sub>,iii
IV,I,iii<sup>6</sup><sub>4</sub>,I
IV,I,iii<sup>6</sup><sub>4</sub>,♭VII
IV,I,iii<sup>6</sup><sub>4</sub>,V<sup>6</sup>
IV,I,iii<sup>6</sup><sub>4</sub>,IV
IV,I,iii<sup>6</sup><sub>4</sub>,I<sup>4</sup><sub>2</sub>
IV,I,iii<sup>6</sup><sub>4</sub>,v<sup>6</sup>
IV,I,iii<sup>6</sup><sub>4</sub>,V
IV,I,vi<sup>7</sup>,IV
IV,I,vi<sup>7</sup>,V
IV,I,vi<sup>7</sup>,iii<sup>7</sup>
IV,I,vi<sup>7</sup>,V<sup>7</sup>/V
IV,I,vi<sup>7</sup>,vi
IV,I,vi<sup>7</sup>,IVb7
IV,I,vi<sup>7</sup>,I
IV,I,vi<sup>7</sup>,IV<sup>7</sup>
IV,I,vi<sup>7</sup>,iii
IV,I,vi<sup>7</sup>,ii
IV,I,vi<sup>7</sup>,V<sup>7</sup>
IV,I,V<sup>6</sup><sub>4</sub>,vi
IV,I,V<sup>6</sup><sub>4</sub>,I<sup>6</sup>
IV,I,V<sup>6</sup><sub>4</sub>,V<sup>4</sup><sub>3</sub>
IV,I,V<sup>6</sup><sub>4</sub>,IV<sup>6</sup><sub>4</sub>
IV,I,V<sup>6</sup><sub>4</sub>,I
IV,I,V<sup>6</sup><sub>4</sub>,V
IV,I,V<sup>6</sup><sub>4</sub>,IV
IV,I,V<sup>7</sup>,I
IV,I,V<sup>7</sup>,vi
IV,I,V<sup>7</sup>,IV
IV,I,V<sup>7</sup>,V
IV,I,V<sup>7</sup>,vi<sup>7</sup>
IV,I,V<sup>7</sup>,iii<sup>6</sup><sub>5</sub>
IV,I,♭III,IV
IV,I,♭III,♭VII
IV,I,♭III,V/V
IV,I,♭III,V
IV,I,♭III,I
IV,I,iii<sup>7</sup>,vi<sup>7</sup>
IV,I,iii<sup>7</sup>,IV
IV,I,iii<sup>7</sup>,vi
IV,I,iii<sup>7</sup>,iii
IV,I,iii<sup>7</sup>,ii<sup>6</sup><sub>5</sub>
IV,I,iii<sup>7</sup>,iii<sup>6</sup>
IV,I,iii<sup>7</sup>,V
IV,I,I<sup>6</sup>,IV
IV,I,I<sup>6</sup>,I
IV,I,I<sup>6</sup>,ii<sup>6</sup>
IV,I,I<sup>6</sup>,♭VII
IV,I,I<sup>6</sup>,IV<sup>6</sup><sub>4</sub>/IV
IV,I,I<sup>6</sup>,vi
IV,I,I<sup>6</sup>,V
IV,V,vi,IV
IV,V,vi,V
IV,V,vi,I
IV,V,vi,iii
IV,V,vi,ii
IV,V,vi,I<sup>6</sup>
IV,V,vi,V<sup>6</sup>
IV,V,vi,♭VII
IV,V,vi,I<sup>6</sup><sub>4</sub>
IV,V,vi,vi<sup>6</sup>
IV,V,vi,V/V
IV,V,vi,vi<sup>7</sup>
IV,V,vi,ii<sup>7</sup>
IV,V,vi,vi<sup>4</sup><sub>2</sub>
IV,V,vi,iii<sup>7</sup>
IV,V,vi,iii<sup>6</sup>
IV,V,vi,V/vi
IV,V,vi,vi<sup>6</sup><sub>4</sub>
IV,V,vi,vii°
IV,V,I,IV
IV,V,I,V
IV,V,I,vi
IV,V,I,V<sup>6</sup>
IV,V,I,ii
IV,V,I,iii
IV,V,I,iii<sup>6</sup><sub>4</sub>
IV,V,I,♭VII
IV,V,I,I<sup>6</sup>
IV,V,I,V/V
IV,V,I,I<sup>4</sup><sub>2</sub>
IV,V,I,V/vi
IV,V,I,ii<sup>7</sup>
IV,V,I,V<sup>7</sup>/vi
IV,V,I,I<sup>7</sup>
IV,V,I,I<sup>6</sup><sub>4</sub>
IV,V,I,vi<sup>7</sup>
IV,V,I,V<sup>7</sup>
IV,V,IV,V
IV,V,IV,I
IV,V,IV,iii
IV,V,IV,vi
IV,V,IV,I<sup>6</sup>
IV,V,IV,ii
IV,V,IV,♭VII
IV,V,IV,V/vi
IV,V,IV,♭III
IV,V,IV,♭III
IV,V,iii,vi
IV,V,iii,IV
IV,V,iii,vi<sup>7</sup>
IV,V,iii,V
IV,V,iii,I
IV,V,iii,V/vi
IV,V,iii,ii
IV,V,iii,V/ii
IV,V,ii,IV
IV,V,ii,vi
IV,V,ii,iii
IV,V,ii,I
IV,V,ii,V
IV,V,ii,V/vi
IV,V,ii,I<sup>6</sup>
IV,V,ii,iii<sup>7</sup>
IV,V,ii,vi<sup>6</sup><sub>4</sub>
IV,V,ii,♭VII
IV,V,ii,IV<sup>6</sup><sub>4</sub>
IV,V,ii,♭VII<sup>7</sup>
IV,V,ii,ii<sup>6</sup><sub>4</sub>
IV,V,ii,ii<sup>7</sup>
IV,V,ii,V/iii
IV,V,ii,V<sup>6</sup><sub>4</sub>
IV,V,ii,V<sup>7</sup>/vi
IV,V,vi<sup>7</sup>,IV
IV,V,vi<sup>7</sup>,I
IV,V,vi<sup>7</sup>,V
IV,V,vi<sup>7</sup>,iii<sup>7</sup>
IV,V,vi<sup>7</sup>,vi
IV,V,vi<sup>7</sup>,ii<sup>7</sup>
IV,V,vi<sup>7</sup>,I<sup>6</sup>
IV,V,vi<sup>7</sup>,I<sup>7</sup>
IV,V,vi<sup>7</sup>,ii
IV,V,vi<sup>7</sup>,♭VII<sup>7</sup>
IV,V,vi<sup>7</sup>,v<sup>6</sup><sub>5</sub>
IV,V,vi<sup>7</sup>,V<sup>7</sup>/V
IV,V,vi<sup>7</sup>,iii
IV,V,vi<sup>7</sup>,IV<sup>7</sup>/IV
IV,V,vi<sup>7</sup>,♭VII
IV,V,vi<sup>7</sup>,♭VI<sup>7</sup>
IV,V,vi<sup>7</sup>,ii<sup>6</sup>
IV,V,vi<sup>7</sup>,V/V
IV,V,vi<sup>7</sup>,vi<sup>6</sup>
IV,V,vi<sup>7</sup>,♭VIIb7
IV,V,I<sup>6</sup>,IV
IV,V,I<sup>6</sup>,I
IV,V,I<sup>6</sup>,vi
IV,V,I<sup>6</sup>,V<sup>7</sup>/ii
IV,V,I<sup>6</sup>,V<sup>6</sup><sub>4</sub>
IV,V,V/vi,vi
IV,V,V/vi,IV
IV,V,V/vi,ii<sup>7</sup>
IV,V,V/vi,ii
IV,V,V/vi,V<sup>6</sup>/vi
IV,V,V/vi,IV<sup>4</sup><sub>2</sub>
IV,V,V/vi,I
IV,V,V/vi,V<sup>6</sup>/V
IV,V,V/vi,IV<sup>7</sup>/vii
IV,V,V/vi,vi<sup>7</sup>
IV,V,V<sup>6</sup>/vi,vi
IV,V,V<sup>6</sup>/vi,V/vi
IV,V,V<sup>6</sup>/vi,V/ii
IV,V,♭VII,IV
IV,V,♭VII,I
IV,V,♭VII,vi
IV,V,♭VII,V<sup>6</sup><sub>5</sub>
IV,V,♭VII,♭III
IV,V,♭VII,v
IV,V,♭VII,ii
IV,V,♭VII,V
IV,V,♭VII,IV<sup>6</sup>
IV,V,♭VII,V/V
IV,V,iii<sup>7</sup>,vi
IV,V,iii<sup>7</sup>,IV
IV,V,iii<sup>7</sup>,♭iii<sup>7</sup>
IV,V,iii<sup>7</sup>,vi<sup>7</sup>
IV,V,iii<sup>7</sup>,♭IIIb7
IV,V,iii<sup>7</sup>,V<sup>4</sup><sub>2</sub>
IV,V,iii<sup>7</sup>,V<sup>6</sup><sub>4</sub>
IV,V,iii<sup>7</sup>,iii
IV,V,iii<sup>7</sup>,V/ii
IV,V,V/V,IV
IV,V,V/V,V/vi
IV,V,V/V,I
IV,V,V/V,V<sup>4</sup><sub>2</sub>/V
IV,V,V/V,vi
IV,V,V/V,#iv°
IV,V,V/V,iii
IV,V,V/V,vi
IV,V,V/V,ii
IV,V,V/V,V/ii
IV,V,vii°/vi,vi
IV,V,vii°/vi,V<sup>6</sup>/vi
IV,V,vii°/vi,vi<sup>7</sup>
IV,V,vii°/vi,IV<sup>6</sup>
IV,V,vii°/vi,V/vi
IV,V,V<sup>6</sup>,I
IV,V,V<sup>6</sup>,IV<sup>6</sup><sub>4</sub>
IV,V,V<sup>6</sup>,V<sup>6</sup><sub>4</sub>
IV,V,V<sup>6</sup>,ii
IV,V,V<sup>6</sup>,iii
IV,V,V<sup>6</sup>,V
IV,V,V<sup>6</sup>,IV<sup>6</sup>
IV,V,V<sup>6</sup>,IV
IV,V,V<sup>6</sup>,vi
IV,V,♭VI,♭VII
IV,V,♭VI,V
IV,V,♭VI,♭V<sup>7</sup>
IV,V,♭VI,v<sup>6</sup><sub>5</sub>
IV,V,♭VI,I
IV,V,V<sup>7</sup>,I
IV,V,V<sup>7</sup>,V
IV,V,V<sup>7</sup>,vi
IV,V,V<sup>7</sup>,v<sup>??</sup><sup>7</sup>
IV,V,V<sup>7</sup>,V#7
IV,V,V<sup>7</sup>,IV
IV,vi,V,IV
IV,vi,V,I
IV,vi,V,ii
IV,vi,V,iii
IV,vi,V,vi
IV,vi,V,I<sup>6</sup>
IV,vi,V,V<sup>6</sup>
IV,vi,V,ii<sup>7</sup>
IV,vi,V,V/V
IV,vi,I,V
IV,vi,I,IV
IV,vi,I,iii
IV,vi,I,ii
IV,vi,I,vi
IV,vi,I,V<sup>7</sup>
IV,vi,I,V/vi
IV,vi,I,V/V
IV,vi,I,I<sup>6</sup>
IV,vi,I,vi<sup>6</sup><sub>5</sub>
IV,vi,I,IV<sup>6</sup><sub>4</sub>
IV,vi,I,iii<sup>6</sup><sub>5</sub>
IV,vi,I,ii<sup>7</sup>
IV,vi,IV,vi
IV,vi,IV,I
IV,vi,IV,V
IV,vi,IV,ii
IV,vi,IV,iii
IV,vi,IV,#iv°
IV,vi,IV,V/vi
IV,vi,IV,i
IV,vi,IV,iii<sup>7</sup>
IV,vi,IV,V<sup>6</sup>
IV,vi,IV,ii<sup>6</sup>
IV,vi,iii,IV
IV,vi,iii,V
IV,vi,iii,ii
IV,vi,iii,V/V
IV,vi,iii,vi
IV,vi,iii,v
IV,vi,iii,iii<sup>4</sup><sub>2</sub>
IV,vi,iii,iii<sup>6</sup>
IV,vi,ii,V
IV,vi,ii,I
IV,vi,ii,IV
IV,vi,ii,vi
IV,vi,ii,iii
IV,vi,ii,♭VII
IV,vi,ii,V<sup>7</sup>/vi
IV,vi,V<sup>6</sup>,I
IV,vi,V<sup>6</sup>,ii
IV,vi,V<sup>6</sup>,V
IV,vi,V<sup>6</sup>,IV
IV,vi,V<sup>6</sup>,I<sup>6</sup>
IV,vi,V<sup>6</sup>,iii<sup>4</sup><sub>2</sub>
IV,vi,vi<sup>6</sup>,V<sup>6</sup>
IV,vi,vi<sup>6</sup>,IV<sup>6</sup><sub>4</sub>
IV,vi,vi<sup>6</sup>,V
IV,vi,vi<sup>6</sup>,ii
IV,vi,vi<sup>6</sup>,iii
IV,vi,vi<sup>7</sup>,vi
IV,vi,vi<sup>7</sup>,IV
IV,vi,vi<sup>7</sup>,I
IV,vi,vi<sup>7</sup>,V
IV,vi,IV<sup>7</sup>,vi
IV,vi,IV<sup>7</sup>,II<sup>6</sup>
IV,vi,IV<sup>7</sup>,V
IV,vi,IV<sup>7</sup>,II<sup>6</sup><sub>5</sub>
IV,vi,IV<sup>7</sup>,vi<sup>4</sup><sub>2</sub>
IV,vi,V/vi,IV
IV,vi,V/vi,vi
IV,vi,V/vi,♭III
IV,vi,V/vi,V
IV,vi,V/vi,vii°/V
IV,vi,V/V,IV
IV,vi,V/V,I
IV,vi,V/V,V<sup>7</sup>
IV,vi,V/V,V
IV,vi,iii<sup>6</sup>,IV
IV,vi,iii<sup>6</sup>,II<sup>6</sup>
IV,vi,iii<sup>6</sup>,ii<sup>6</sup>
IV,vi,iii<sup>6</sup>,vii<sup>6</sup><sub>4</sub>
IV,vi,I<sup>6</sup><sub>4</sub>,V<sup>6</sup>/V
IV,vi,I<sup>6</sup><sub>4</sub>,V
IV,vi,I<sup>6</sup><sub>4</sub>,ii
IV,vi,I<sup>6</sup><sub>4</sub>,IV
IV,vi,I<sup>6</sup><sub>4</sub>,vi
IV,vi,ii<sup>7</sup>,iii<sup>7</sup>
IV,vi,ii<sup>7</sup>,vi
IV,vi,ii<sup>7</sup>,IV
IV,vi,ii<sup>7</sup>,iii
IV,vi,iii<sup>7</sup>,I
IV,vi,iii<sup>7</sup>,IV
IV,vi,iii<sup>7</sup>,ii<sup>7</sup>
IV,vi,iii<sup>7</sup>,V/V
IV,vi,vi<sup>4</sup><sub>2</sub>,IV
IV,vi,vi<sup>4</sup><sub>2</sub>,II<sup>6</sup>
IV,vi,vi<sup>4</sup><sub>2</sub>,ii
IV,vi,♭VII,IV
IV,vi,♭VII,I
IV,vi,♭VII,♭VI
IV,vi,♭VII,V/vi
IV,vi,♭VII,♭VI
IV,vi,♭VII,V
IV,vi,I<sup>6</sup>,IV
IV,vi,I<sup>6</sup>,ii<sup>7</sup>
IV,vi,vi<sup>6</sup><sub>4</sub>,IV
IV,vi,vi<sup>6</sup><sub>4</sub>,vi
IV,vi,vi<sup>6</sup><sub>4</sub>,vi<sup>4</sup><sub>2</sub>
IV,ii,vi,V
IV,ii,vi,IV
IV,ii,vi,I
IV,ii,vi,V<sup>6</sup>
IV,ii,vi,vi<sup>6</sup><sub>4</sub>
IV,ii,vi,vi<sup>6</sup>
IV,ii,vi,♭VII
IV,ii,vi,ii
IV,ii,vi,I<sup>6</sup><sub>4</sub>
IV,ii,vi,V/vi
IV,ii,vi,iii
IV,ii,vi,vii<sup>??</sup><sup>7</sup>
IV,ii,vi,vi<sup>6</sup><sub>5</sub>
IV,ii,vi,ii<sup>7</sup>
IV,ii,vi,vii°
IV,ii,vi,I<sup>6</sup>
IV,ii,V,vi
IV,ii,V,I
IV,ii,V,IV
IV,ii,V,vii°/vi
IV,ii,V,iii
IV,ii,V,ii
IV,ii,V,I<sup>6</sup>
IV,ii,V,V<sup>6</sup><sub>5</sub>/vi
IV,ii,V,V<sup>4</sup><sub>2</sub>
IV,ii,V,iii<sup>7</sup>
IV,ii,V,♭III
IV,ii,V,ii<sup>7</sup>
IV,ii,V,i<sup>6</sup>
IV,ii,V,V<sup>6</sup>
IV,ii,V,vi<sup>4</sup><sub>3</sub>
IV,ii,I,V
IV,ii,I,vi
IV,ii,I,IV
IV,ii,I,♭VII
IV,ii,I,iii
IV,ii,I,v<sup>6</sup>
IV,ii,I,vii°
IV,ii,I,Ib7
IV,ii,I,iii<sup>7</sup>
IV,ii,I,V/vi
IV,ii,I,ii
IV,ii,I,I<sup>7</sup>
IV,ii,I,V<sup>6</sup>
IV,ii,I,vi<sup>7</sup>
IV,ii,I,V/V
IV,ii,I,vii
IV,ii,I,IV<sup>6</sup><sub>4</sub>
IV,ii,I,I<sup>6</sup>
IV,ii,IV,ii
IV,ii,IV,V
IV,ii,IV,vi
IV,ii,IV,I
IV,ii,IV,iii
IV,ii,IV,V/vi
IV,ii,IV,V<sup>6</sup>/vi
IV,ii,IV,vii°/vi
IV,ii,IV,ii<sup>7</sup>
IV,ii,IV,vii
IV,ii,IV,V<sup>6</sup><sub>5</sub>/V
IV,ii,IV,♭VII
IV,ii,iii,vi
IV,ii,iii,IV
IV,ii,iii,I
IV,ii,iii,V
IV,ii,iii,ii
IV,ii,iii,vii°/vi
IV,ii,iii,vi<sup>4</sup><sub>2</sub>
IV,ii,iii,V<sup>6</sup>/vi
IV,ii,iii,iii<sup>7</sup>
IV,ii,iii,V/vi
IV,ii,V/vi,vi
IV,ii,V/vi,IV
IV,ii,V/vi,ii
IV,ii,V/vi,V<sup>6</sup>/vi
IV,ii,V/vi,iii<sup>7</sup>
IV,ii,V/vi,iii
IV,ii,V/vi,I
IV,ii,I<sup>6</sup>,IV
IV,ii,I<sup>6</sup>,ii<sup>6</sup>
IV,ii,I<sup>6</sup>,iv<sup>7</sup>
IV,ii,I<sup>6</sup>,vi
IV,ii,I<sup>6</sup>,ii<sup>6</sup><sub>5</sub>
IV,ii,V<sup>7</sup>,I
IV,ii,V<sup>7</sup>,vii°/vi
IV,ii,V<sup>7</sup>,vi
IV,ii,V<sup>7</sup>/vi,vi
IV,ii,V<sup>7</sup>/vi,vii°
IV,ii,V<sup>7</sup>/vi,IV
IV,ii,♭VII,V
IV,ii,♭VII,V/ii
IV,ii,♭VII,♭III
IV,ii,♭VII,I
IV,ii,♭VII,I
IV,ii,♭VII,♭VII
IV,ii,vi<sup>6</sup><sub>4</sub>,V/vi
IV,ii,vi<sup>6</sup><sub>4</sub>,vi
IV,ii,vi<sup>6</sup><sub>4</sub>,V<sup>7</sup>/vi
IV,ii,vi<sup>6</sup><sub>4</sub>,ii
IV,ii,ii<sup>6</sup><sub>4</sub>,ii<sup>4</sup><sub>2</sub>
IV,ii,ii<sup>6</sup><sub>4</sub>,I<sup>6</sup><sub>4</sub>
IV,ii,V<sup>6</sup>,V
IV,ii,V<sup>6</sup>,I
IV,ii,V<sup>6</sup>,ii
IV,ii,V<sup>6</sup>,V<sup>6</sup><sub>4</sub>/vi
IV,ii,V<sup>6</sup>,vi
IV,iii,vi,V
IV,iii,vi,IV
IV,iii,vi,I
IV,iii,vi,ii
IV,iii,vi,iii
IV,iii,vi,V<sup>6</sup>
IV,iii,vi,V<sup>7</sup>
IV,iii,vi,I<sup>6</sup><sub>4</sub>
IV,iii,vi,vii°
IV,iii,vi,V<sup>7</sup>/IV
IV,iii,vi,ii<sup>6</sup>
IV,iii,vi,♭VI
IV,iii,vi,ii<sup>7</sup>
IV,iii,vi,♭VII
IV,iii,vi,V/vi
IV,iii,vi,I<sup>7</sup>
IV,iii,vi,V/ii
IV,iii,vi,V<sup>6</sup><sub>4</sub>
IV,iii,vi,V<sup>6</sup>/vi
IV,iii,vi,vii
IV,iii,IV,iii
IV,iii,IV,V
IV,iii,IV,I
IV,iii,IV,vi
IV,iii,IV,I<sup>6</sup>
IV,iii,IV,♭VI
IV,iii,IV,iii<sup>6</sup>
IV,iii,IV,iii<sup>6</sup><sub>5</sub>
IV,iii,IV,vii°/V
IV,iii,IV,IV<sup>4</sup><sub>2</sub>
IV,iii,IV,IV<sup>7</sup>
IV,iii,IV,vii°/vi
IV,iii,IV,vii°
IV,iii,IV,vi<sup>6</sup><sub>4</sub>
IV,iii,ii,V
IV,iii,ii,I
IV,iii,ii,IV
IV,iii,ii,vi
IV,iii,ii,iii
IV,iii,ii,V/vi
IV,iii,ii,♭VII
IV,iii,ii,vii°/vi
IV,iii,ii,I<sup>7</sup>
IV,iii,ii,ii<sup>6</sup>
IV,iii,ii,V<sup>6</sup><sub>4</sub>
IV,iii,ii,V<sup>6</sup><sub>5</sub>/vi
IV,iii,ii,IV<sup>7</sup>
IV,iii,ii,V<sup>6</sup>
IV,iii,V,vi
IV,iii,V,I
IV,iii,V,IV
IV,iii,V,iii
IV,iii,V,ii
IV,iii,V,vii°
IV,iii,V,vi<sup>7</sup>
IV,iii,V,V<sup>6</sup><sub>4</sub>
IV,iii,V,I<sup>6</sup>
IV,iii,V,V<sup>4</sup><sub>2</sub>
IV,iii,V,♭VII
IV,iii,I,vi
IV,iii,I,ii
IV,iii,I,V
IV,iii,I,IV
IV,iii,I,iii
IV,iii,I,V<sup>6</sup>
IV,iii,I,vii°
IV,iii,I,I<sup>4</sup><sub>2</sub>
IV,iii,I,iii<sup>6</sup><sub>4</sub>
IV,iii,ii<sup>7</sup>,I
IV,iii,ii<sup>7</sup>,iii
IV,iii,ii<sup>7</sup>,V<sup>7</sup>
IV,iii,ii<sup>7</sup>,V
IV,iii,ii<sup>7</sup>,IV
IV,iii,ii<sup>7</sup>,I<sup>7</sup>
IV,iii,ii<sup>7</sup>,iii<sup>7</sup>
IV,iii,V/V,I
IV,iii,V/V,V/vi
IV,iii,V/V,iii
IV,iii,V/V,I
IV,iii,V/V,IV
IV,iii,vi<sup>7</sup>,IV
IV,iii,vi<sup>7</sup>,ii
IV,iii,vi<sup>7</sup>,♭VII<sup>7</sup>
IV,iii,vi<sup>7</sup>,I
